	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	項目	重組	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日
118	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製					D	P24908_D	2.9	6	-6	0	0	0	0	0
119	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製					E	P24908_E	0.0	0	0	0	0	0	0	0
120	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製	6.0		4.6	4.6	-	P24900_-	0.0	0	0	0	0	0	0	0
121	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製					A	P24900_A	0.0	0	0	0	0	0	0	0
122	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製					B	P24900_B	4.6	6	-6	0	0	0	0	0
123	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製					D	P24900_D	0.0	0	0	0	0	0	0	0
124	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製					E	P24900_E	0.0	0	0	0	0	0	0	0
125	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-80	 	"1"" S-80"	4.55	M	P24910	預製	1818.0		840.1	829.5	-	P24910_-	0.0	0	0	0	0	0	0	0
126	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-80	 	"1"" S-80"	4.55	M	P24910	預製					A	P24910_A	547.6	606	0	606	0	0	0	0
127	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-80	 	"1"" S-80"	4.55	M	P24910	預製					B	P24910_B	107.1	120	0	120	0	0	0	0
128	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-80	 	"1"" S-80"	4.55	M	P24910	預製					D	P24910_D	174.8	192	-48	144	0	0	0	0
