	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	中文說明	用料時機	採購量	可領用量	合計	合計2	項目	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日	8月22日	8月24日	重組
59	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P46905_E
60	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	鋼管	預製	210.0		35.6	35.6	-	0.0	0	0	0	0	0	0	0	0	0	P211707_-
61	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P211707_A
62	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	鋼管	預製					B	35.6	42	-42	0	0	0	0	0	0	0	P211707_B
63	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P211707_D
64	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P211707_E
65	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	鋼管	預製	6.0		0.8	0.8	-	0.0	0	0	0	0	0	0	0	0	0	P46863_-
66	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P46863_A
67	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	鋼管	預製					B	0.8	6	-6	0	0	0	0	0	0	0	P46863_B
68	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P46863_D
69	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P46863_E
70	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	鋼管	預製	114.0		32.6	32.6	-	0.0	0	0	0	0	0	0	0	0	36	P211677_-
71	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P211677_A
72	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	鋼管	預製					B	32.6	36	0	0	0	0	0	0	0	0	P211677_B
