管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
,,,,,,,,,,,,,,,,B,107.1,120,0,120,0,0,0,0
,,,,,,,,,,,,,,,,D,174.8,192,-48,144,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,588,,215.4,195.3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,88.8,102,-102,0,0,0,0,0
,,,,,,,,,,,,,,,,B,53.6,60,-60,0,0,0,0,0
,,,,,,,,,,,,,,,,D,52.9,60,-60,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,6,,0.3,0.3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0.3,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P24912,預製,1452,,346.4,346.4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0.3,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,345.1,384,-384,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P76243,預製,48,,40.7,40.7,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,40.7,48,-48,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P98428,預製,78,,19.2,14.9,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,14.9,18,-18,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,1, ,S-80, ,"1"" S-80",4.55,M,P76202,預製,18,,1.2,1.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1.2,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P104959,預製,48,,0.2,0.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
