管線材質,ORDER_SEQ,Short_desc,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,中文說明,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日,8月22日,8月24日,重組
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P64172_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,鋼管,預製,252,,229.2,228.6,-,0,0,0,0,0,0,0,0,0,0,P64128_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P64128_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P64128_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,鋼管,預製,,,,,D,228.6,252,-252,0,0,0,0,0,0,0,P64128_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P64128_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,鋼管,預製,6,,0.3,0.3,-,0,0,0,0,0,0,0,0,0,0,P64100_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P64100_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P64100_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,鋼管,預製,,,,,D,0.3,6,-6,0,0,0,0,0,0,0,P64100_D
